campaign_id,customer_id,channel,sent_date,response
1,1,DisplayAd,2022-04-03,0
2,2,SMS,2022-07-03,0
3,2,DisplayAd,2022-12-18,0
4,2,Social,2020-08-27,0
5,3,Social,2020-04-02,1
6,3,Email,2020-06-26,1
7,3,SMS,2021-12-20,0
8,4,Social,2020-09-08,0
9,4,Email,2020-06-05,1
10,4,DisplayAd,2022-04-12,0
11,5,SMS,2021-06-19,1
12,5,Email,2021-12-05,0
13,6,DisplayAd,2021-03-15,0
14,6,Email,2020-11-10,1
15,7,SMS,2020-10-20,0
16,8,Social,2021-06-04,0
17,8,SMS,2020-04-23,1
18,9,Email,2022-08-11,0
19,9,Email,2020-03-22,0
20,9,Email,2021-11-22,0
21,10,SMS,2021-09-07,1
22,10,DisplayAd,2021-12-28,1
23,11,SMS,2021-11-10,1
24,12,Social,2020-01-02,1
25,12,DisplayAd,2020-01-29,0
26,12,DisplayAd,2022-08-05,1
27,13,DisplayAd,2021-07-22,0
28,13,DisplayAd,2021-01-22,0
29,14,DisplayAd,2022-09-19,1
30,14,Social,2022-05-12,1
31,14,Email,2021-05-14,1
32,15,DisplayAd,2021-07-08,1
33,15,Email,2020-04-17,0
34,15,DisplayAd,2020-06-01,1
35,16,SMS,2020-09-12,0
36,17,Social,2020-03-03,1
37,17,DisplayAd,2022-07-04,0
38,17,Social,2020-11-20,1
39,18,Social,2020-09-22,1
40,19,DisplayAd,2020-03-08,1
41,20,SMS,2020-01-20,1
42,20,DisplayAd,2022-08-05,1
43,21,Social,2020-01-01,0
44,21,SMS,2022-04-13,0
45,22,DisplayAd,2021-03-11,1
46,22,SMS,2021-07-03,0
47,23,Social,2022-09-25,1
48,23,Social,2021-09-08,0
49,24,Social,2022-09-08,0
50,24,Social,2020-08-03,0
51,24,SMS,2021-05-09,1
52,25,Social,2021-06-15,0
53,25,DisplayAd,2022-03-03,0
54,26,Social,2021-06-10,0
55,26,SMS,2021-06-10,1
56,26,SMS,2020-06-16,1
57,27,SMS,2022-04-27,0
58,27,DisplayAd,2020-02-19,1
59,27,Social,2021-07-20,1
60,28,Email,2022-07-16,0
61,28,DisplayAd,2020-04-15,1
62,29,Social,2021-08-19,1
63,30,Social,2020-04-25,1
64,31,DisplayAd,2020-04-26,1
65,32,SMS,2021-05-06,0
66,33,Email,2020-02-24,0
67,34,Social,2022-12-27,1
68,34,SMS,2022-03-31,0
69,34,SMS,2020-06-25,0
70,35,DisplayAd,2022-02-02,1
71,36,Social,2021-08-07,1
72,36,DisplayAd,2020-08-22,0
73,36,SMS,2022-03-22,1
74,37,Email,2021-04-07,1
75,38,DisplayAd,2021-09-11,0
76,39,SMS,2020-07-09,1
77,39,Social,2022-05-01,0
78,39,Social,2021-04-04,1
79,40,Email,2022-02-26,1
