order_id,customer_id,order_date,amount,product_category
1,1850,2022-03-28,288.45,Home
2,60,2021-06-11,394.09,Clothing
3,888,2021-11-29,183.0,Electronics
4,1161,2021-12-26,297.65,Books
5,392,2020-12-30,428.24,Books
6,1586,2022-09-03,300.38,Books
7,952,2022-09-29,454.59,Books
8,1609,2020-06-15,237.36,Books
9,634,2020-06-21,282.45,Home
10,405,2020-02-02,354.5,Sports
11,1422,2020-02-28,448.49,Electronics
12,1685,2022-12-24,238.23,Home
13,385,2020-11-05,427.25,Sports
14,1407,2020-06-02,174.24,Clothing
15,792,2021-02-13,317.01,Books
16,1896,2022-05-02,167.42,Sports
17,315,2022-09-17,113.45,Sports
18,176,2020-06-08,372.44,Books
19,577,2020-12-22,453.25,Electronics
20,44,2020-06-04,432.46,Books
21,1633,2020-11-07,133.66,Clothing
22,212,2021-06-09,66.88,Clothing
23,1308,2022-12-22,138.94,Home
24,1406,2021-07-31,87.0,Home
25,1364,2020-04-29,373.11,Electronics
26,1249,2021-11-19,453.82,Electronics
27,1832,2021-12-02,437.59,Home
28,270,2021-03-15,322.23,Sports
29,934,2022-04-10,227.59,Books
30,67,2020-05-07,203.34,Clothing
31,524,2022-12-10,90.75,Sports
32,731,2022-06-19,382.74,Clothing
33,648,2022-08-23,313.73,Books
34,1632,2022-08-20,337.16,Sports
35,1109,2022-11-27,394.51,Books
36,90,2022-03-29,313.97,Clothing
37,836,2021-08-22,185.23,Books
38,848,2021-03-04,66.72,Books
39,347,2022-08-17,481.21,Clothing
40,286,2020-05-13,492.2,Sports
41,1981,2020-11-19,487.38,Books
42,1542,2021-08-16,427.86,Clothing
43,462,2020-12-02,257.79,Home
44,749,2021-02-07,71.21,Clothing
45,492,2021-07-10,482.41,Books
46,1853,2020-04-02,326.45,Clothing
47,368,2022-05-19,33.87,Books
48,390,2021-12-08,245.44,Books
49,1942,2022-01-09,173.33,Books
50,1534,2021-11-13,363.7,Books
51,446,2020-10-17,290.37,Books
52,938,2021-09-13,192.23,Books
53,1202,2022-03-14,108.25,Books
54,1996,2021-04-19,449.12,Sports
55,67,2022-10-25,363.93,Clothing
56,1672,2020-12-19,295.64,Books
57,507,2020-02-06,31.49,Books
58,166,2022-09-18,360.87,Clothing
59,1277,2020-01-04,305.09,Clothing
60,674,2022-05-24,196.26,Sports
61,1022,2022-05-29,376.9,Books
62,1186,2020-02-09,167.47,Books
63,1565,2020-08-04,440.16,Clothing
64,291,2020-10-16,295.27,Clothing
65,891,2022-08-16,111.93,Clothing
66,761,2021-08-03,60.45,Home
67,1313,2020-11-17,42.49,Home
68,193,2022-05-10,306.66,Sports
69,690,2022-04-14,233.78,Sports
70,525,2020-04-17,212.77,Clothing
71,1553,2020-11-29,166.64,Home
72,1026,2022-02-02,428.72,Sports
73,1430,2021-02-17,401.32,Sports
74,999,2021-04-26,343.56,Sports
75,147,2022-09-19,95.93,Electronics
76,64,2021-11-29,61.38,Clothing
77,1013,2022-05-13,457.89,Sports
78,311,2022-06-01,314.89,Books
79,611,2020-05-09,370.08,Clothing
80,1373,2021-03-20,122.33,Books
81,452,2022-01-23,270.16,Home
82,1734,2022-12-11,80.36,Home
83,757,2020-02-01,179.99,Sports
84,1492,2020-06-16,312.46,Home
85,624,2020-11-12,164.09,Home
86,1592,2022-05-03,431.37,Electronics
87,209,2022-05-08,163.44,Clothing
88,1436,2020-01-13,273.75,Sports
89,199,2022-08-13,463.39,Books
90,1324,2022-02-22,346.67,Clothing
91,487,2022-01-19,141.93,Home
92,196,2020-01-31,26.73,Clothing
93,611,2022-01-08,88.28,Books
94,281,2021-02-28,252.66,Home
95,1516,2021-11-20,178.09,Electronics
96,1650,2021-03-09,172.79,Home
97,1317,2021-01-21,448.93,Electronics
98,1681,2022-03-11,113.19,Electronics
99,996,2021-11-29,458.38,Sports
100,282,2022-02-03,163.95,Clothing
101,1101,2021-10-12,344.52,Sports
102,364,2022-10-17,67.92,Books
103,1641,2020-11-29,352.54,Electronics
104,997,2022-04-24,205.16,Books
105,189,2022-06-07,190.76,Home
106,287,2020-03-19,270.62,Electronics
107,458,2022-08-28,482.11,Electronics
108,1061,2020-04-04,358.51,Books
109,1608,2021-05-26,380.69,Home
110,710,2020-06-25,347.85,Books
111,744,2022-10-28,265.07,Home
112,448,2022-11-14,446.91,Sports
113,287,2022-08-03,72.77,Sports
114,495,2022-11-12,27.26,Electronics
115,1540,2022-09-16,267.43,Home
116,1981,2021-09-20,18.73,Books
117,891,2022-10-26,246.86,Sports
118,1297,2020-05-14,129.77,Sports
119,269,2021-03-28,216.75,Electronics
120,1738,2021-12-06,275.71,Books
121,1653,2021-05-04,431.65,Home
122,581,2021-04-06,163.88,Clothing
123,37,2022-07-11,499.05,Books
124,256,2021-04-28,166.85,Electronics
125,787,2020-05-12,312.57,Books
126,591,2022-03-28,493.31,Sports
127,177,2020-04-07,348.21,Books
128,1397,2022-03-22,140.92,Home
129,1069,2021-05-27,397.52,Clothing
130,1967,2022-03-25,309.37,Electronics
131,1532,2022-09-16,306.37,Sports
132,62,2022-07-24,158.16,Home
133,584,2022-07-16,361.3,Home
134,649,2022-10-27,366.03,Electronics
135,194,2022-04-30,198.04,Books
136,1833,2021-03-05,244.41,Home
137,1698,2021-07-06,334.75,Clothing
138,1870,2021-08-30,246.23,Electronics
139,470,2020-01-14,475.72,Home
140,1298,2022-12-16,494.2,Home
141,1795,2022-02-21,260.79,Electronics
142,1869,2021-11-04,210.72,Electronics
143,92,2022-01-15,85.28,Home
144,1002,2020-02-25,94.14,Electronics
145,1806,2022-11-30,221.37,Books
146,1521,2021-03-17,439.16,Electronics
147,1356,2020-10-24,276.66,Electronics
148,1586,2022-04-03,139.38,Home
149,1331,2020-12-20,82.59,Home
150,1707,2022-02-09,27.32,Electronics
151,379,2022-10-02,316.28,Electronics
152,911,2020-08-03,367.91,Sports
153,448,2020-03-08,393.82,Books
154,1006,2022-05-31,327.37,Sports
155,378,2022-02-24,206.23,Home
156,1432,2022-12-11,328.35,Sports
157,1580,2020-06-06,126.49,Books
158,1418,2021-08-02,458.45,Sports
159,812,2022-10-02,246.22,Electronics
160,643,2020-01-06,265.21,Electronics
161,46,2021-03-03,277.19,Books
162,124,2020-10-29,472.46,Sports
163,453,2022-09-20,318.8,Electronics
164,1496,2022-07-05,242.27,Electronics
